Symbol,BreakOut,Interval,EndTime,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBaseAssetVolume,TakerBuyQuoteAssetVolume
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572566400000,0.00000131,0.00000139,0.00000130,0.00000135,17565156.00000000,1572652799999,23.50730281,2237,7702750.00000000,10.37933233
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572652800000,0.00000135,0.00000139,0.00000124,0.00000130,24729358.00000000,1572739199999,32.11572140,2905,9110298.00000000,11.85637444
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572739200000,0.00000129,0.00000159,0.00000128,0.00000144,115568321.00000000,1572825599999,171.29624983,11073,62488958.00000000,92.91964806
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572825600000,0.00000144,0.00000158,0.00000135,0.00000138,89820598.00000000,1572911999999,132.74677136,8449,44657786.00000000,66.45935967
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572912000000,0.00000138,0.00000152,0.00000136,0.00000148,47748829.00000000,1572998399999,68.32163733,4181,27145401.00000000,38.99256619
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572998400000,0.00000148,0.00000151,0.00000140,0.00000142,21265660.00000000,1573084799999,30.66272254,2451,8197040.00000000,11.84950301
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1573084800000,0.00000141,0.00000146,0.00000136,0.00000139,15997918.00000000,1573171199999,22.38029991,1855,5821060.00000000,8.17967242
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1573171200000,0.00000138,0.00000142,0.00000131,0.00000139,19217903.00000000,1573257599999,26.37745348,2286,9120353.00000000,12.58419306
New Pattern
GOBTC,False,1d,12/21/2019 2:22:00 PM,1575417600000,0.00000121,0.00000124,0.00000120,0.00000122,6191445.00000000,1575503999999,7.57993317,856,2671629.00000000,3.28831174
GOBTC,False,1d,12/21/2019 2:22:00 PM,1575504000000,0.00000122,0.00000176,0.00000122,0.00000167,162205681.00000000,1575590399999,245.96024521,15369,82256742.00000000,124.55084441
GOBTC,False,1d,12/21/2019 2:22:00 PM,1575590400000,0.00000167,0.00000184,0.00000150,0.00000157,142624892.00000000,1575676799999,235.11124289,14501,63583888.00000000,105.13879201
GOBTC,False,1d,12/21/2019 2:22:00 PM,1575676800000,0.00000158,0.00000159,0.00000144,0.00000159,42983639.00000000,1575763199999,64.83617714,4744,17520760.00000000,26.55837856
GOBTC,False,1d,12/21/2019 2:22:00 PM,1575763200000,0.00000159,0.00000189,0.00000151,0.00000181,77212675.00000000,1575849599999,133.34833826,9169,39056284.00000000,67.86343132
GOBTC,False,1d,12/21/2019 2:22:00 PM,1575849600000,0.00000181,0.00000204,0.00000173,0.00000185,88782682.00000000,1575935999999,168.46340711,10880,43107471.00000000,82.32183511
GOBTC,False,1d,12/21/2019 2:22:00 PM,1575936000000,0.00000184,0.00000230,0.00000160,0.00000221,108750817.00000000,1576022399999,210.87552984,14042,54190578.00000000,106.73680665
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576022400000,0.00000220,0.00000241,0.00000204,0.00000210,90283764.00000000,1576108799999,201.83446247,11972,38333510.00000000,86.35557837
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576108800000,0.00000210,0.00000218,0.00000179,0.00000190,58722404.00000000,1576195199999,114.87942083,8882,25418682.00000000,49.61557915
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576195200000,0.00000190,0.00000207,0.00000181,0.00000206,41201989.00000000,1576281599999,79.68533588,5666,18335602.00000000,35.74724752
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576281600000,0.00000206,0.00000233,0.00000192,0.00000210,92468315.00000000,1576367999999,198.11341691,12938,41226772.00000000,88.86397761
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576368000000,0.00000210,0.00000214,0.00000187,0.00000191,41852987.00000000,1576454399999,82.00567416,5778,17107166.00000000,33.51650101
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576454400000,0.00000191,0.00000213,0.00000190,0.00000198,46158535.00000000,1576540799999,93.73064232,6972,22545389.00000000,45.94334691
